product_id,product_name,category,brand,price,cost,launch_date,current_inventory,reorder_level
PROD-0001,"StyleMax Clothing Model 1001",Clothing,StyleMax,31,20.15,2021-02-02,101,21
PROD-0002,"HomeComfort Home & Garden Model 1002",Home & Garden,HomeComfort,32,20.8,2022-03-03,102,22
PROD-0003,"ActiveLife Sports Model 1003",Sports,ActiveLife,33,21.45,2023-04-04,103,23
PROD-0004,"ReadMore Books Model 1004",Books,ReadMore,16,10.4,2024-05-05,104,24
PROD-0005,"GlowUp Beauty Model 1005",Beauty,GlowUp,30,19.5,2020-06-06,105,25
PROD-0006,"AutoPro Automotive Model 1006",Automotive,AutoPro,36,23.4,2021-07-07,106,26
PROD-0007,"PlayFun Toys Model 1007",Toys,PlayFun,37,24.05,2022-08-08,107,27
PROD-0008,"TechnoCore Electronics Model 1008",Electronics,TechnoCore,158,102.7,2023-09-09,108,28
PROD-0009,"StyleMax Clothing Model 1009",Clothing,StyleMax,39,25.35,2024-10-10,109,29
PROD-0010,"HomeComfort Home & Garden Model 1010",Home & Garden,HomeComfort,40,26,2020-11-11,110,30
PROD-0011,"ActiveLife Sports Model 1011",Sports,ActiveLife,41,26.65,2021-12-12,111,31
PROD-0012,"ReadMore Books Model 1012",Books,ReadMore,24,15.6,2022-01-13,112,32
PROD-0013,"GlowUp Beauty Model 1013",Beauty,GlowUp,38,24.7,2023-02-14,113,33
PROD-0014,"AutoPro Automotive Model 1014",Automotive,AutoPro,44,28.6,2024-03-15,114,34
PROD-0015,"PlayFun Toys Model 1015",Toys,PlayFun,45,29.25,2020-04-16,115,35
PROD-0016,"TechnoCore Electronics Model 1016",Electronics,TechnoCore,166,107.9,2021-05-17,116,36
PROD-0017,"StyleMax Clothing Model 1017",Clothing,StyleMax,47,30.55,2022-06-18,117,37
PROD-0018,"HomeComfort Home & Garden Model 1018",Home & Garden,HomeComfort,48,31.2,2023-07-19,118,38
PROD-0019,"ActiveLife Sports Model 1019",Sports,ActiveLife,49,31.85,2024-08-20,119,39
PROD-0020,"ReadMore Books Model 1020",Books,ReadMore,32,20.8,2020-09-21,120,40
PROD-0021,"GlowUp Beauty Model 1021",Beauty,GlowUp,46,29.9,2021-10-22,121,41
PROD-0022,"AutoPro Automotive Model 1022",Automotive,AutoPro,52,33.8,2022-11-23,122,42
PROD-0023,"PlayFun Toys Model 1023",Toys,PlayFun,53,34.45,2023-12-24,123,43
PROD-0024,"TechnoCore Electronics Model 1024",Electronics,TechnoCore,174,113.1,2024-01-25,124,44
PROD-0025,"StyleMax Clothing Model 1025",Clothing,StyleMax,55,35.75,2020-02-26,125,45
PROD-0026,"HomeComfort Home & Garden Model 1026",Home & Garden,HomeComfort,56,36.4,2021-03-27,126,46
PROD-0027,"ActiveLife Sports Model 1027",Sports,ActiveLife,57,37.05,2022-04-28,127,47
PROD-0028,"ReadMore Books Model 1028",Books,ReadMore,15,9.75,2023-05-01,128,48
PROD-0029,"GlowUp Beauty Model 1029",Beauty,GlowUp,54,35.1,2024-06-02,129,49
PROD-0030,"AutoPro Automotive Model 1030",Automotive,AutoPro,60,39,2020-07-03,130,50
PROD-0031,"PlayFun Toys Model 1031",Toys,PlayFun,61,39.65,2021-08-04,131,51
PROD-0032,"TechnoCore Electronics Model 1032",Electronics,TechnoCore,182,118.3,2022-09-05,132,52
PROD-0033,"StyleMax Clothing Model 1033",Clothing,StyleMax,63,40.95,2023-10-06,133,53
PROD-0034,"HomeComfort Home & Garden Model 1034",Home & Garden,HomeComfort,64,41.6,2024-11-07,134,54
PROD-0035,"ActiveLife Sports Model 1035",Sports,ActiveLife,65,42.25,2020-12-08,135,55
PROD-0036,"ReadMore Books Model 1036",Books,ReadMore,23,14.95,2021-01-09,136,56
PROD-0037,"GlowUp Beauty Model 1037",Beauty,GlowUp,62,40.3,2022-02-10,137,57
PROD-0038,"AutoPro Automotive Model 1038",Automotive,AutoPro,68,44.2,2023-03-11,138,58
PROD-0039,"PlayFun Toys Model 1039",Toys,PlayFun,69,44.85,2024-04-12,139,59
PROD-0040,"TechnoCore Electronics Model 1040",Electronics,TechnoCore,190,123.5,2020-05-13,140,60
PROD-0041,"StyleMax Clothing Model 1041",Clothing,StyleMax,71,46.15,2021-06-14,141,61
PROD-0042,"HomeComfort Home & Garden Model 1042",Home & Garden,HomeComfort,72,46.8,2022-07-15,142,62
PROD-0043,"ActiveLife Sports Model 1043",Sports,ActiveLife,73,47.45,2023-08-16,143,63
PROD-0044,"ReadMore Books Model 1044",Books,ReadMore,31,20.15,2024-09-17,144,64
PROD-0045,"GlowUp Beauty Model 1045",Beauty,GlowUp,70,45.5,2020-10-18,145,65
PROD-0046,"AutoPro Automotive Model 1046",Automotive,AutoPro,76,49.4,2021-11-19,146,66
PROD-0047,"PlayFun Toys Model 1047",Toys,PlayFun,77,50.05,2022-12-20,147,67
PROD-0048,"TechnoCore Electronics Model 1048",Electronics,TechnoCore,198,128.7,2023-01-21,148,68
PROD-0049,"StyleMax Clothing Model 1049",Clothing,StyleMax,79,51.35,2024-02-22,149,69
PROD-0050,"HomeComfort Home & Garden Model 1050",Home & Garden,HomeComfort,80,52,2020-03-23,150,70
PROD-0051,"ActiveLife Sports Model 1051",Sports,ActiveLife,81,52.65,2021-04-24,151,71
PROD-0052,"ReadMore Books Model 1052",Books,ReadMore,14,9.1,2022-05-25,152,72
PROD-0053,"GlowUp Beauty Model 1053",Beauty,GlowUp,78,50.7,2023-06-26,153,73
PROD-0054,"AutoPro Automotive Model 1054",Automotive,AutoPro,84,54.6,2024-07-27,154,74
PROD-0055,"PlayFun Toys Model 1055",Toys,PlayFun,85,55.25,2020-08-28,155,75
PROD-0056,"TechnoCore Electronics Model 1056",Electronics,TechnoCore,206,133.9,2021-09-01,156,76
PROD-0057,"StyleMax Clothing Model 1057",Clothing,StyleMax,87,56.55,2022-10-02,157,77
PROD-0058,"HomeComfort Home & Garden Model 1058",Home & Garden,HomeComfort,88,57.2,2023-11-03,158,78
